,population,households,office,income,nationaltax,localtax,agriculturalout,forestryprod,landing,factory,industryamount,employer,storesales,powerconsum,deposit,publicexpense,houses,cars,educationalamount,booksales,newspapersales,tv,phone,posting
Hyogo,5566566,2187130,252132,147639,1389761,501143,1649,46.3,105143,19859,117753,2649600,13177565,11598,435055,1009971,45787,2925885,802070,165429,2422661,1518982,5725895,708119
Nara,1439040,525535,53073,38668,186130,113016,546,67.5,313,5559,19885,675500,2096700,2955,105170,254356,9990,821632,218003,32105,738826,385214,1504484,200882
Wakayama,1073434,411063,58997,26856,300029,87101,1056,65.8,21172,4587,19097,511500,1952240,2416,95195,228098,6691,738326,180626,26208,464681,334007,1109248,102018
Tottori,614650,216963,31926,15064,98206,53957,703,23.4,126348,1812,10348,314600,1507277,1305,41221,181101,4760,453280,113527,17413,263817,193871,617878,58227
Shimane,752534,267189,45344,18199,115835,65928,650,51.1,61496,2707,9349,386100,1705491,1613,51195,329440,4774,542109,163292,19589,319999,251843,749383,75407
Okayama,1957269,732253,92823,53126,680361,186210,1296,79.4,18068,7403,61734,963500,5518944,4232,136132,365125,15149,1454545,293783,54688,787074,598564,2085438,571083
Hiroshima,2869555,1161859,145555,80700,802421,281009,1065,47.9,53694,10505,66627,1458000,12567940,6198,222559,645990,23967,1808053,414000,88627,1164217,998459,3293572,408882
Yamaguchi,1512333,620630,78099,42661,516172,140933,777,34,98592,3615,50043,751700,3595032,3149,105320,305193,10257,1053543,229287,44041,723473,534099,1582442,142541
Tokushima,823304,305362,45498,22142,175131,83583,1201,70.6,12157,3233,15083,397700,1821844,1839,71840,215867,5195,610301,148696,24585,328303,232571,855056,74790
Kagawa,1029356,389901,57335,27645,365676,102315,862,51.5,36919,4534,20019,511900,4282163,2265,101386,191557,7910,744671,163737,29673,434015,320069,1143094,149966
Ehime,1496929,603933,80613,34490,415626,125857,1347,67.5,74821,5128,30720,727300,3923283,3163,115526,329903,10931,996782,230488,40073,575140,475910,1554295,143022
Kouchi,809554,341873,46354,18360,128103,63664,1019,84.8,15082,2434,5124,409300,1705016,1760,59042,260348,5598,567087,148154,20110,291492,242928,845188,76256
Fukuoka,5010859,2023115,242611,131374,1368856,469018,2313,119.8,78550,11559,70113,2461800,22034564,9979,299960,735627,51434,3112592,635363,153253,2095616,1467072,5705959,788353
Saga,877040,293751,44673,21386,143449,81241,1450,15,79678,2956,14034,437800,1875024,1711,53572,207276,5540,632060,147475,20630,316228,247390,778304,71433
Nagasaki,1511064,591017,76403,34008,209290,107182,1339,47.3,115895,4184,12285,704300,3298063,2888,78559,272204,9681,910794,258530,36161,524011,490154,1465214,141764
Kumamoto,1862895,690743,86658,45425,312474,151102,3242,144.7,23470,4028,22778,901800,4184779,3546,97835,309731,13141,1279125,273402,43373,580911,553543,1785486,209835
Oita,1227107,480113,65302,31528,320990,102805,1427,180.8,30663,2951,29060,588600,2695568,2465,72956,306699,9589,867733,213217,37584,452290,363602,1236703,105382
Miyazaki,1177455,475947,61679,28520,186803,91709,3108,206.9,16694,2946,11575,576700,2696485,2286,55772,267535,8033,893443,188294,26549,387525,352616,1170237,97353
Kagoshima,1769932,759742,91011,39962,295756,138525,4019,72.4,133139,5304,17355,842600,4331959,3430,91718,380425,12892,1297224,312311,42934,549811,598134,1745418,140978
Okinawa,1362128,501093,73179,27189,291000,92298,931,2.3,5835,2767,5913,599400,2492057,2808,52904,283715,13502,913662,268853,25107,461005,341780,1362962,90992
